_id,title,publish_time,content
t3621099,有一种“云”，叫“武汉云”！这个字，读懂重启后的武汉,2020-05-04 23:30,"华为：“上半年在汉落地鲲鹏生态创新中心！”
武汉：“不等6月，就在本周！”
4月30日，4月的最后一天，
也是武汉重启之月的最后一天，
武汉市政府与华为公司
通过WeLink视频连线方式“云签约”
揭牌长江鲲鹏生态创新中心。
4月30人，长江鲲鹏生态创新中心揭牌。长江日报记者 周超 摄
云签约、云对接、云招商、
云开工、云金融、云招聘……
有一种“云”，叫“武汉云”。
4月8日重启以来，
面对经济复苏中
出现的痛点、难点、堵点，
武汉创新“云平台”，
以“准”“实”“快”的举措和作为精准施策。
准
“云对接”畅通武汉造“梗阻”，“云签约”给未来产业补链扩链
经历了近一个月重启后的武汉，已驶入了“快车道”。
4月30日，市政府与华为公司，通过WeLink视频连线方式，完成了“联合打造鲲鹏生态、发展鲲鹏计算产业”的“云签约”，同时揭牌长江鲲鹏生态创新中心。
这距离华为提出这一想法，仅过去一周时间。
4月23日，华为武汉研究所负责人向市委市政府表示，未来30年计算产业是下一个发力点，华为打造的“鲲鹏”是未来计算产业的树根，希望上半年在汉落地鲲鹏生态创新中心。
“鲲鹏”将推进武汉新基建布局，助力传统行业数字化转型，有助于武汉“芯屏端网”产业集群补链扩链。敏锐意识到这一点，武汉只争朝夕提速“鲲鹏”落地，一周后即落地。
“武汉重启，动作更快一些，服务更优一些，让企业有更多获得感”，“快而准”的服务，给正处于困难中的“武汉造”企业“雪中送炭”。
5月1日一大早，长江电气董事长王新城就赶到“畅通武汉制造市场循环供需对接会”。现在工厂的产能基本恢复，但海外市场基本停滞，国内市场尚处恢复，订单问题却让他头疼。
急企业之所需，武汉市委市政府创造性搭建了“云对接”平台，为建材、机电等“武汉造”企业精准对接建筑工程、医疗市场。为制造业企业建立畅通市场的长效机制，在政务网站或网络平台对广大企业开展专场展示推介。
当天，89家在汉企业、单位参会，现场签约12个项目。王新城说，这样“云对接”有力拉动整个产业链条的恢复和发展，安排公司一一对接推荐目录上的需求企业，并积极参加后续活动。
实
“云金融”设600亿元纾困基金，“云招聘”为9000多家企业招人
武汉的“云平台”，对于企业来说，不仅快、准，还“实”。
蔡甸区一家中小规模的制造业企业在复工后，由于前期销售款一直未能回笼，面临流动资金周转困难问题。在政策支持和对接下，很快，该企业从工商银行获得了130万元贷款。“感谢政府支持，给我们解了燃眉之急。”企业负责人表示。
针对中小微企业和个体工商户的困难，市委市政府设立中小微企业纾困专项资金。首期200亿元，二期增加到400亿元，还新设立200亿元个体工商户的定向纾困资金。至此，武汉设立的纾困基金总金额扩容至600亿元。
截至4月21日，共有4752家企业通过“汉融通”平台提交申请，已为819家企业发放贷款62.7亿元，另有1207家企业正在加快审批放款。
针对企业“招人难”，在市委市政府部署下，武汉通过开通网络“云招聘”平台，累计上线招聘企业9000多家。
通过平台，武汉协卓卫生用品有限公司新洲厂区2个月内招到了近500人。为了帮助企业招人，新洲区人社局公共就业服务中心党支部书记徐晓霞到企业“上班”，对接平台发布招工信息，还通过QQ、微信工作群扩大信息发布，缓解了企业的用工难。
快
重启当天“云招商”签约2451亿元，第三天“云开工”1865.7亿元
重启后的武汉，在防控不放松的前提下，以“等不得、慢不得”的姿态，踩着“云”加速跑。
作为武汉“解封”后第一位到汉的知名企业家，融创中国董事会主席孙宏斌难以忘记在武汉度过的4天3夜。 4月7日，武汉“解封”前一天，孙宏斌从北京赶到武汉，下了火车直奔黄陂区，与有关领导沟通“长江文旅城”项目投资事宜。
4月8日武汉“解封”，孙宏斌在武汉2020年首场“云招商”上，正式签约该项目。
4月9日，孙宏斌马不停蹄赶往武汉开发区，就融创·首创武汉经开国际智慧生态城市项目建设及集中开工活动沟通。
4月10日，在武汉市召开重大项目建设推进会武汉开发区分会场，“云视频”集中开工这一项目。 快，是武大校友孙宏斌这些年对武汉发展印象最深刻的记忆。
快，是孙宏斌来到“解封”后的武汉最切身的感受。 不能举行大规模的集中签约，武汉就举办“云招商”。
4月8日，泰康集团董事长陈东升、中国联通董事长王晓初、复星集团董事长郭广昌等近百位知名企业家与武汉“屏对屏”“线连线”，相聚“云”端。
当日，69个项目“云”上签约，总投资金额达到2451亿元。
不能举行人员聚集的开工，武汉就举行“云开工”。
4月10日，全市重大项目建设推进会举行，各区设分会场，通过视频连线。
在“云”端各区的集中开工声中， 100个重大项目集中开工，总投资达1865.7亿元。
准！实！快！
武汉，踏着“云”加速奔跑！
长江融媒出品 统筹：马振华 文字：康鹏 郑汝可 贺亮 邓志鹏 杨莉 章鸽 海报：整理李玉莹 设计胡欣 摄影高勇 周超 通讯员秦松 夏鹏 制作：王戎飞 校对：童永忠 胡蝶
【编辑：刘航】"
t3621097,今年这一场五四晚会，让人看得泪流满面,2020-05-04 22:56,"长江网5月4日讯（记者万旭明）
看过再多遍，还是会为那些画面落泪。说过再多遍，还是想说一句“武汉谢谢你”。5月4日晚，《奋斗的青春最美丽》五四青年节特别节目在央视多个平台播出，医护人员、志愿者、建设者、海外学子等年轻的面孔纷纷出镜，讲述着他们的战疫故事。平实的述说、简单的画面，却让观众们的眼泪止不住地落下。
医护人员在一线奋战的画面，就算看过千遍万遍，还是无尽的感动。而在视频中，援鄂医疗队员们记忆最深的，却是来自武汉人民的爱护。
“80后”的中建八局一公司安装公司副总经理张鑫，只给家人留下一句“我去公司加班了”，就奔赴战疫一线，带领援建雷神山的青年突击队实现了3天通电、4天通水、6天通风的速度奇迹。
“国、佳、民、强”四兄妹与妈妈一起出镜，大哥杜富国是“扫雷英雄战士” “时代楷模”，在他那句“你退后，让我来”的鼓舞下，妹妹杜富佳悄悄剪短了头发，主动请缨前往武汉战疫一线成为援鄂护士，三弟杜富民作为医生坚守在贵州某医院的ICU里，小弟杜富强则是一名边防战士。在五四晚会的视频连线中，提到这四个孩子，母亲李合兰说道：“在我心目中，他们已经活成了我们想要的样子。”
90后的国家援鄂医疗队护士李佳辰，17年前曾送妈妈踏上前线抗击非典，在电话里为妈妈弹奏《世上只有妈妈好》。17年后她奔赴武汉战疫一线，第一个夜晚就收到来自妈妈鼓励的信。读着母女俩的通信，演员王鸥满眼热泪。
晚会上还回顾了武汉市协和江北医院消化内科夏思思战疫的事迹，29岁的她是科室里最年轻的医生，也是妻子、女儿、母亲。更多在战疫中牺牲的医护人员的故事也出现在晚会视频中。
此外，快递小哥汪勇带着妻女亮相，不到三岁的小女儿说“爸爸是大英雄”。海外学子、青年民警涂可蔼、南开大学智能防疫遥控操作机器人“小安”、青年志愿者喀日木·玉苏普等也讲述了自己的战疫故事。
在这场晚会中，明星们不着华服、不施浓妆，平实地讲述着战疫一线的故事。易烊千玺、王源、王俊凯、韩雪等明星先后亮相，用音乐歌唱着年轻的奋斗故事。
不到90分钟的晚会，没有华丽的舞台，没有宏大的场景。“武汉伢”朱一龙等演唱公益歌曲《武汉伢》，让网友“橘家Amber”回忆起在武汉大学访学的一年，并说道：“疫情最严重的时候，为武汉的老师朋友担心害怕，好在一切都过去了，武汉加油，中国加油，我爱我的国。”更多的网友则期盼着美好的未来，“居居阳416”就说道：“武汉加油，希望有时间去武汉，感受这个温暖热闹的城市！”
【编辑：刘航】"
t3621095,筑牢小区“防护墙”，这家物业公司上岗员工全部接受检测核酸,2020-05-04 22:43,"长江网5月4日讯（记者汪甦）
5月4日一大早，黄陂区盘龙经济开发区巢上城·俊园的业主李伟、严洁向小区的嘉源物业服务中心送来一面锦旗，“感谢你们24小时全天候的坚守，筑牢了小区‘防护墙’，我们住得很安心，你们辛苦了！”
嘉源物业的保洁人员在江岸区球新社区进行消杀作业。通讯员邓柳 供图
民建武汉市江岸区会员、武汉嘉源物业公司董事长方定忠介绍，疫情防控期间，公司300多人逆行坚守一线，一边做好上岗一线员工防控，一边持续加大对小区的守护。目前，公司2000多员工已实现80%复工率，上岗员工全部接受了核酸检测，全力保障全市86个物业项目开展运行。
从测温仪到防护服、口罩，嘉源物业严格遵守防控要求。“一线保洁员工处于暴露环境中，我们就要求在岗员工必须佩戴口罩、穿防护服，并且4个小时换一次口罩，每月发放十万多个口罩、千余件防护服。”方定忠介绍，不仅如此，每一处物业服务中心每日安排工作人员对楼栋、电梯、地库、垃圾桶等位置进行全覆盖式消杀，保障园区的环境卫生；对小区主要进出口进行封控，设有300多台智能体温仪；还为业主采购蔬菜、肉类、水果、调料等生活物资，为独居老人发放爱心蔬菜、爱心粮食。
嘉源物业工作人员为江岸区九运京汉名都小区居民团购蔬菜。通讯员邓柳 供图
“我们还扩大服务范围，采用智能化的管理软件为业主‘跑腿代办’。”方定忠称，疫情防控期间，工作人员与小区业主通过视频家居系统不见面的实时沟通，能为业主直接提供采购生活物资、缴纳物业费、维修保修等服务。
方定忠表示，公司将着力强化延展服务，聚焦居民生活化服务需求，全面推进智慧物业、居家养老等服务，提升服务品质。
【编辑：张靖 刘航】"
t3621081,应勇寄语全省广大青年：凝聚青春正能量争当时代弄潮儿,2020-05-04 22:23,"应勇寄语全省广大青年
坚定理想信念 增长本领才干
凝聚青春正能量争当时代弄潮儿
长江网5月4日讯（湖北日报记者王婧）
今天是五四青年节，省委书记应勇代表省委、省政府向全省广大青年、青年工作者致以节日的祝福和诚挚的问候。他指出，五四青年节来临之际，习近平总书记亲切寄语广大青年，全省各级党组织和广大青年要认真学习领会、坚决贯彻落实。
应勇指出，新冠肺炎疫情发生以来，全省广大青年坚定不移听党话、跟党走，义无反顾、冲锋在前，用实际行动为疫情防控作出了突出贡献，展示了新时代湖北青年勇担使命、堪当大任的良好风貌。
应勇强调，全省广大青年要坚持以习近平新时代中国特色社会主义思想为指导，坚定理想信念，增长本领才干，凝聚青春正能量，争当时代弄潮儿。各级党委政府、共青团组织要关心关爱青年，努力为青年成长成才创造良好条件，激励引导他们为夺取疫情防控和经济社会发展“双胜利”、决胜全面建成小康社会、决战脱贫攻坚贡献青春智慧和力量。
今天下午，湖北省各界青年“五四”座谈会在武汉召开。省委常委、统战部部长尔肯江·吐拉洪出席会议并讲话。副省长赵海山主持会议。尔肯江·吐拉洪指出，全省各级团组织和广大青年坚持党有号召、团有行动，不畏艰险、热忱奉献，在投身疫情防控中展现了青春的蓬勃力量。他希望广大青年要坚定信念，自觉听党召唤，强化理论武装，增强信心决心，当好坚守初心的后备军，让五四精神放射出更加夺目的时代光芒。要奋发有为，投身复工复产第一线、创新创业最前沿、脱贫攻坚主战场，当好疫后重振的突击队，用奋斗书写青春的华丽篇章。要向上向善，甘于奉献、砥砺品德、争当先进，当好社会风尚的引领者，让清风正气、蓬勃朝气遍布全社会。
会上，中国青年五四奖章获得者个人和集体代表等7名青年典型作交流分享，全省各界青年代表30余人参加。
【编辑：刘益谦】"
t3621078,奋斗吧青春！武汉高校青年在央视讲述武汉战疫故事,2020-05-04 22:02,"长江网5月4日讯（记者杨佳峰实习记者吴金伟）
5月4日，武汉大学、中国地质大学（武汉）等多所武汉高校参与2020年央视五四特别节目，与多位明星连线，共话青年战疫故事。　　武汉大学的航拍成为节目开头，多位武汉大学青年云连线央视主持人，讲述战疫的珞珈力量。　　武汉大学晋凡舒说，中南医院的医务工作者让我们敬佩，中南医院对口帮扶七医院、牵头建设武汉规模最大的方舱医院、全面接管雷神山医院，用他们的血肉之躯为我们筑起了抗击疫情的铜墙铁壁。　　青年医护工作人员张翼飞，通过直播平台向全国关注关心中南医院的观众表示了感谢，“正是因为有你们的支持，我们度过了难关，成为了大家更为信任的中南医院。”疫情期间，中南医院开启了1+3收治模式，5400张病床，让中南医院成为了武汉地区规模最大的新冠肺炎定点医院，帮助对口武汉第七医院，率先完成院区改造，最早收治新冠肺炎患者。　　战疫期间，中南医院4名98年出生，才入职半年的护士主动请战；该院麻醉科一群平均年龄33岁的医生火速组成雷神山插管突击队，与死神进行‘十公分的’搏斗。张翼飞说：“其实，我们每个人身边有很多有为青年，是祖国建设的接班人，也必将接过前人的担子，破茧成蝶、淬炼成钢，让我们一起关注他们祝福他们。”　　明星杜江连线武汉大学研究生王琇琨，熟练掌握多国外语的她用学习经验为中南医院一位战疫医生8岁的女儿教英语，用德语歌曲《小星星》激发孩子的学习兴趣。有组织校级大型活动经验的她，组织了1549名志愿者为中南医院医务人员的子女进行云辅导，总服务时长15000多个小时。4月15日，王琇琨还在联合国研讨会上分享中国青年的战疫故事与战疫精神。　　“Boat寓意风雨同舟，武汉加油”，武汉大学创业者李艮基在疫情期间，联合工作组15名学生，为武大学子开发“Boat”软件，提供物资运送的“无接触服务”。他还发起了收集“我爱武大”字样的活动，活动发起当天，就收集到12800份“我爱武大”的字样，共同组成武汉大学的logo，鼓舞抗疫斗志。　　几名青年讲述了自己的战疫故事后，杜江与全国观众相约明年武大赏樱，“春天总会到来，我们相邀明年春天共同欣赏武大的美丽，在未来人生道路上永远不忘青春热情。　　高伟光连线中国地质大学（武汉）的高校学生徐子杨，他表示，建设火神山医院，“我长大也成熟了，短短十天就建好医院，我能参与其中，感觉非常自豪。” 来自非洲贝宁的地大留学生大名，6年前来到中国，他说武汉是他的第二个家。大名和同学组建了一个叫“钢铁侠”的志愿者服务队，帮所有留学生订送日用品，以避免感染，这些志愿者来自13个国家，虽然文化不一样，但工作很开心。　　此外，武汉音乐学院也参与到8小时云直播接力中，讲述以“艺”抗“疫”的故事，镌刻青春，书写担当。　　武汉大学、华中科技大学、华中师范大学、武汉音乐学院、中国地质大学（武汉）也在特别节目中，为观众表演《白衣长城》，演唱《武汉伢》（春天版）、《少年》等多个节目，传承五四精神，歌颂战疫精神。　　【编辑：刘航】"
t3621067,高三年级复课在即，他们顶着高温为学校义务消杀,2020-05-04 21:53,"长江网5月4日讯（记者吴曈）
提着10多斤的喷雾机，背上50斤重的消杀器具，穿起防护服，戴上口罩、护目镜……连续两天，20名将军红志愿“消杀队”队员顶着高温，先后来到江夏一中、武汉外校美加分校、武汉外国语学校等中学，开展义务消杀作业，为即将到来的高三年级复学做足准备。
将军红志愿消杀队在武汉外校美加分校内消杀作业 受访者供图
5月4日，在多所中学校园内，消杀队员们不放过任何一个角落，扛着消杀工具在教室、食堂、楼梯走道、图书馆等室内外场所作业。“一个学校全部搞下来，用了4个小时。”将军红志愿“消杀队”队长蒋华告诉长江日报-长江网记者，由于这几天气温较高，队员们还准备了降温解暑的药品，防止中暑。
将军红志愿消杀队在武汉外校美加分校内消杀作业 受访者供图
“公益消杀，分文不取。”蒋华说，除了不收取任何费用，消杀设备、防疫装备和队员餐食也全部自备。　　据了解，将军红志愿“消杀队”现在共有40人，队员大部分为退役军人。从3月29日成立以来，几乎每天都在商超、企业、学校等场所进行义务消杀，随着队员们陆续复工返岗，消杀时间主要以周末和节假日为主。经粗略统计，队员们已在武汉完成了超50次集体消杀作业。　　【编辑：戴容】"
t3621001,8号线二期建设又有新进展了,2020-05-04 20:51,"长江网5月4日讯（记者龚萍 通讯员刘丹丹）
武汉地铁8号线二期建设又有新进展，水果湖站-洪山路站盾构区间右线盾构精准接收，这是该条地铁线复工复产一个多月以来，首个完成双线贯通的盾构区间隧道，为全线区间洞通节点提供有力保障。
4日上午，长江网记者在位于洪山路站小里程端头井下见到，巨大的盾构机端头已经穿越区间的土层，在地下区间可以清楚见到两个超大的圆形洞口，地铁建设者们正在进行着盾构机接收后续施工准备。
5月4日，地铁8号线二期水果湖站-洪山路站区间右线隧道盾构机接收 记者李永刚 摄
“接下来要将右线到达的盾构机平移到左线的盾构吊装井口，再用吊机将其从地下吊装到地面，区间内就可以进行铺轨等施工工序了。”武汉地铁集团建设事业总部业主代表刘金波兴奋地介绍，4月初左线盾构贯通，5月初右线盾构也顺利贯通，8号线二期的复工复产进度很迅速。
水果湖站-洪山路站区间隧道全长约450米，右线从水果湖站大里程端始发后下穿东湖路，侧穿沿线建筑物，最后以小曲线半径穿行至水果湖横路下方到达洪山路站。盾构区间里程虽短，但施工工艺却异常复杂。在穿越水果湖广场时，先后20余次实施常压开仓清障，洞内清理144组锚杆，清理钢筋达4吨多。
5月4日，地铁8号线二期水果湖站-洪山路站区间右线隧道盾构机接收 记者李永刚 摄
记者在现场见到，盾构区间贯通的同时，地下二层的车站的内部装修等工序也在有条不紊地进行着。手扶电梯、垂直电梯、空调管道等区域，都有工人在同步施工，车站内部的各类电气、电力设备也悉数运抵现场。
尽管地下车站内的各项施工同步进行，但工地现场的防疫工作丝毫没有松懈。记者在洪山路的几个工地见到，每个工地都设有防疫门岗，进入工地内需要测量体温、扫健康码和填写个人的信息，确保现场疫情防控的安全。
武汉地铁8号线二期共12个车站，其中11个车站的主体结构已完工，正进行附属结构和车站装修的施工。36个单线盾构区间已贯通18个，8个暗挖区间已完工6个。复工复产以来，8号线二期全线工地所有一线员工，均每天坚守施工现场，采取多种提速建设举措，将疫情耽误的时间补回来。
据统计，武汉地铁12个在建项目、59个标段在全市率先实现全面复工，施工人员100%到岗。
【编辑：戴容】"
t3621000,既降尘又降温，可通过手机实时查看，这个扬尘监测手段将在全市推广,2020-05-04 20:48,"琴台美术馆项目现场，主体结构已完工，进入装修阶段  记者韩玮 摄
长江网5月4日讯（记者韩玮 通讯员廉新斌）
安装在工地内的喷淋系统，可根据PM10等数值自动开启喷淋降尘，管理者打开手机就能实时监测工地环境状况。5月4日下午，长江网记者在琴台美术馆项目工地内看到这一场景。今年，全市重点路段、区域将试点推广安装施工扬尘在线监测系统，还将适时推出建设工程扬尘污染防治“红黑榜”制度。
琴台美术馆项目工地开启喷淋降尘  记者韩玮 摄
当天下午3时，天气闷热，走进位于知音大道上的琴台美术馆项目，却感到阵阵清凉。在工地围挡、道路两侧以及塔吊吊臂上，喷淋系统开启后形成水雾，既降尘又降温。在工地一角，记者看到一套带有储水罐的工地降尘智能控制喷淋系统。施工方中建三局总承包公司项目经理伍爱强介绍，复工当天即开启了扬尘自动监测和喷淋系统，工地内共安装有300个喷头，常规状态下，从早上6点至晚上7点每半小时喷一次，一旦PM10超过规定数值，随时自动开启，并且加大喷淋频次。
记者看到，工地内还配置除尘雾炮机，裸土处全部栽种了绿植和花卉。
工地内栽植大量绿植花卉覆盖裸土  记者韩玮 摄
武汉市城建局安监站工作人员阎鹏点开安装在自己手机上的小程序，在武汉市工地分布图上，有很多绿色的点，他点开琴台美术馆项目，即可看到日喷淋量、喷淋时间、PM10等空气质量指标。截至下午4点，日喷淋量显示5.99立方米。空气质量为56微克/立方米，属于“良”。
手机上可实施监测工地扬尘等环境状况  记者韩玮 摄
阎鹏介绍，目前全市百余个工地已试点安装了施工扬尘在线监测和智能喷淋设备，智慧监测平台已经搭建，可通过手机终端实时了解工地的状况。
随着全市工地全面复工复产，近期，市城建局每日会同第三方开展工地扬尘治理专项巡查，同时联合各区建管部门进行联合检查。
为进一步探索提升施工现场扬尘管控科技手段，弥补人防短板，助力城建高质量发展，加快武汉市“互联网+”建设部署，市城建局计划于今年在建设工程项目推广安装施工扬尘在线监测和智能喷淋设备，并接入“武汉市文明施工大数据监管平台”。今年将主要在城市窗口地带、景观道路、文教卫场所周边等施工扬尘重点管控区域和重点路段安装推广，可完成全市工地工程量的1/3，明年实现全市工地应装尽装，实现设备安装和平台接入全覆盖。
市城建局还将加强上述平台数据的分析和应用，适时推出建设工程扬尘污染防治“红黑榜”制度，对问题突出的企业及项目进行通报、处罚，对积极推广运用新技术、新工艺，文明施工、扬尘治理表现好的企业及项目给予公示鼓励，构建过程全覆盖、管理全方位、责任全链条的建筑施工扬尘污染防治管理体系。
【编辑：戴容】"
t3620975,湖北老字号走进直播间：妈妈作品曾遨游太空，女儿非遗技能接地气,2020-05-04 20:32,"长江网5月4日讯（记者孙珺 通讯员李康）
妈妈是刺绣大师，刺绣作品曾遨游太空，女儿传承妈妈非遗技艺，将作品设计成更接地气的DIY产品，兼顾初学者，连针都是软的。5月4日，拼多多“为湖北拼单”助农直播间里，出现湖北母女同台“PK”的一幕。湖北的老字号、老手艺也纷纷有了“后浪”玩法。
湖北母女同台PK非遗技艺。记者孙珺 摄
被评为湖北省民间工艺技能传承大师、湖北民间工艺美术家、湖北省级非物质文化遗产（大冶刺绣）代表性传承人刘小红在直播间里带来了曾经遨游太空的刺绣作品。天宫二号空间实验室“太空之家”的内壁上，挂着刘小红创作的刺绣作品《星云之梦》。此外，她还带来了一幅用时一年的作品牡丹花图，每股绣线被分成了16股，一片花瓣有13种颜色，可见功力。后上台的女儿、90后的彭肖肖大学毕业后，从武汉回到家乡大冶和母亲一起开创刺绣事业。“非遗手艺怎么接地气，让更多的人接受，更好玩？”彭肖肖设计了多款可以DIY，好上手的中式喜扇，成为年轻人结婚、闺蜜相赠的伴手礼，设计的儿童木板刺绣，连针都是软的，不会伤到孩子的手，也成为直播间里的爆品。
刺绣大师刘小红带来了耗时一年的作品牡丹图。记者孙珺 摄
传统老字号玩出“后浪”新花样，将是未来的趋势。前来带货的湖北劲牌市场部总经理覃文钊告诉长江日报-长江网记者，劲牌一年超百亿元产值，线上占比才刚刚起步，约2%。“疫情后，在一波波为湖北拼单的浪潮下，我们意识到此前过于依赖线下传统渠道，线上渠道的打通还有很多需要改进的地方。比如我们产品的研发、包装设计以及电商团队的打造等，尚有很大的空间。”他说，年轻人喜欢有趣的体验，产品口味、包装设计也要和年轻人有共同语言，这都需要重新来审视。　　拼多多新农村农业研究院副院长狄拉克表示，湖北老字号大多历史悠久，依然保持生命力，在移动互联网背景下，它们又亟需新的渠道和方式，来拓宽新的人群和渠道。　　【编辑：张靖】"
t3620974,立夏撞上冷空气，未来三天阴雨缠绵,2020-05-04 20:28,"长江网5月4日讯
在“五一”假期临近尾声的同时，5月5日将进入立夏节气。今年立夏恰好撞上冷空气，雨水会变得格外缠绵，气温也会慢慢“清凉”起来。　　4日，头顶明晃晃的阳光不减半分“火力”，升温的“小马达”也持续加速开启，据实况显示，下午3时前后，市内最高气温还猛地蹿上了35℃高温线。
图为盘龙大道和腾龙大道交汇处，辅警在疏导交通。记者 杨涛 摄
“五一”难道就这样一路“红红火火”到结束吗？不！大家期盼已久的“清凉”豪华套餐即将在4日夜间送达，这回风雨雷电一样都不会少，而且它们个个实力都很强劲。　　从武汉市气象台最新预报来看，立夏当天（5月5日），小雨还会继续出场，但将呈现逐步减弱趋势，市内偏北风会增强至3到4级，阵风最大可达5级。6-9日，受高空低槽东移影响，我市又将开启一轮中等强度降水。气温方面，未来三天，风雨“退烧”作用明显，最高气温将节节下滑到26℃，最低气温则在20℃附近。　　湖北省内，4日夜间，除鄂西北地区外，其他地区雨势将增强，南部和东部会伴有短时强降水，江汉平原、鄂东南局部有暴雨或大暴雨，局地还可能发生雷暴大风、冰雹等强对流天气。5-6日，全省大部分地区依然有弱降水残留，高温将出现明显缓和，预计会降至25℃~28℃。　　武汉三天具体预报：　　5月5日白天：小雨转多云，22℃~29℃，偏南风2到3级转偏北风3到4级，阵风5级；　　5月5日晚上到5月6日白天：多云转小雨，20℃~27℃，偏北风转偏东风2到3级；　　5月6日晚上到5月7日白天：阴天有中雨，21℃~26℃，偏东风2到3级。
（见习记者范佳昕 通讯员翟红楠 郭炳欢）
【编辑：刘航】"
